time,DAM_price,temp,wind_speed,wind_speed_unit,humidity_relative,cloudiness,sun_duration_24hours,temp_heterogeneity_category,phase1_avg_money,phase1_mean,phase2_avg_money,phase2_mean,avg_t_out_on_18h,avg_t_out_on_36h,avg_dam_on_18h,avg_dam_on_36h
2023-11-01 06:00:00,0.0479900016784668,13.0,6.921,1.0,88.8,,85.0,ab9,0.07346063516252244,0.20365805467012965,0.0637578492329546,0.18940879935571822,12.322222222222221,12.075000000000001,0.05151166703965929,0.05114777802758746
2023-11-01 07:00:00,0.0680699996948242,12.8,5.826,1.0,89.0,,85.0,ab9,0.07001047412690971,0.20365805467012965,0.06143056657224689,0.18940879935571822,12.222222222222221,11.988888888888889,0.04992833360036215,0.05306527788771523
2023-11-01 08:00:00,0.066879997253418,12.9,6.32,1.0,88.0,,85.0,ab9,0.06690309681813318,0.20365805467012965,0.0611322034277702,0.18940879935571822,12.116666666666667,11.88888888888889,0.046566666947470775,0.05386166672574148
2023-11-01 09:00:00,0.0692300033569336,13.5,6.909,1.0,84.1,,85.0,ab9,0.06260609997616232,0.20365805467012965,0.058210052923518024,0.18940879935571822,12.027777777777779,11.755555555555556,0.04310500044292874,0.05444666686985227
2023-11-01 10:00:00,0.0462200012207031,14.4,7.056,1.0,79.8,,85.0,ab9,0.061619122911946426,0.20365805467012965,0.057888551497405884,0.18940879935571822,11.922222222222222,11.608333333333333,0.039438889145851135,0.0546363889310095
2023-11-01 11:00:00,0.0435,14.6,8.38,1.0,75.2,,85.0,ab9,0.05991106605588221,0.20365805467012965,0.05454253716547809,0.18940879935571822,11.794444444444444,11.433333333333334,0.03706111130449507,0.05535999991496402
2023-11-01 12:00:00,0.0476399993896484,14.1,7.282,1.0,76.2,,85.0,ab9,0.05903708249830763,0.20365805467012965,0.050517298838014466,0.18940879935571822,11.616666666666667,11.255555555555556,0.03488388907909393,0.05573611105150647
2023-11-01 13:00:00,0.0389199981689453,13.4,8.273,1.0,81.8,,85.0,ab9,0.0593167209193566,0.20365805467012965,0.04867331451896858,0.18940879935571822,11.516666666666667,11.091666666666667,0.03318722246752845,0.054834166626135494
2023-11-01 14:00:00,0.0328400001525879,13.0,7.735,1.0,84.4,,85.0,ab9,0.059869317379095885,0.20365805467012965,0.04878119634347701,0.18940879935571822,11.488888888888889,10.947222222222223,0.03518777814176348,0.05407166668441559
2023-11-01 15:00:00,0.0372799987792969,13.4,6.861,1.0,81.0,,85.0,ab9,0.059914328234944664,0.20365805467012965,0.05064357442777209,0.18940879935571822,11.511111111111113,10.816666666666666,0.038242778235011626,0.05343722223573259
2023-11-01 16:00:00,0.0515800018310547,12.9,6.732,1.0,81.3,,85.0,ab9,0.05722939451445012,0.20365805467012965,0.04835549794386427,0.18940879935571822,11.522222222222222,10.677777777777779,0.04020666703912947,0.05256083338128195
